hidden_dim,num_layers,dropout,learning_rate,weight_decay,batch_size,max_epochs,patience,best_epoch,train_rmse,train_r2,train_pearson,val_rmse,val_r2,val_pearson,test_rmse,test_r2,test_pearson,trial,elapsed_seconds
256,2,0.2,0.0005,1e-05,32,300,50,44,0.47698144789571834,0.7805225253105164,0.8852528144557488,0.6506409034654205,0.46718984842300415,0.71707673675802,0.6696775786162893,0.2922022342681885,0.6608015175324573,185,59.22
64,4,0.2,0.001,1e-06,32,300,50,63,0.48037914277910154,0.7773845791816711,0.8872495034818609,0.6520312583003717,0.46491026878356934,0.7144482460531074,0.6632629517815872,0.3056967854499817,0.6632928167892291,52,73.2
128,2,0.15,0.001,1e-06,32,300,50,47,0.477358028991206,0.7801758050918579,0.8964376003769596,0.6523688762645632,0.464356005191803,0.7216654021131756,0.6414971114187997,0.35051804780960083,0.7002465999845989,97,32.64
64,4,0.05,0.0001,1e-06,32,300,50,64,0.5943284981042933,0.6592466831207275,0.8160873377832335,0.6529942997746438,0.46332848072052,0.6968670118062434,0.6301065683300705,0.3733779191970825,0.6775364165150404,28,48.86
256,6,0.15,0.0001,1e-05,32,300,50,59,0.5377580921286035,0.7210278511047363,0.8665518161512662,0.6531264811594837,0.46311116218566895,0.7348725626249617,0.7075022609121909,0.20998859405517578,0.6807426095885603,227,156.05
256,2,0.05,0.0001,0.0001,32,300,50,45,0.49915698629024174,0.7596405148506165,0.8805933105099992,0.6551024303351601,0.459857702255249,0.7146611712958806,0.6702105731430628,0.29107511043548584,0.6722770632831757,165,59.87
128,4,0.15,0.0005,1e-05,32,300,50,53,0.47166348068163255,0.785389244556427,0.8945189553955508,0.655108526317154,0.459847629070282,0.723984311053887,0.6932415499442177,0.24151527881622314,0.6467332133150027,122,67.63
64,4,0.15,0.0005,0.0001,32,300,50,120,0.5540500793097571,0.7038682699203491,0.8496335345209556,0.6556899769297806,0.45888835191726685,0.7110771780229153,0.7138507804602888,0.1957472562789917,0.6394772125964197,42,84.51
128,6,0.2,0.001,1e-06,32,300,50,56,0.6322182820661431,0.6144141554832458,0.8145291999861972,0.6569435678005306,0.4568173289299011,0.6971603660816398,0.6922621090464651,0.24365699291229248,0.653732119718148,160,93.45
128,4,0.05,0.0005,1e-05,32,300,50,23,0.4909093700875346,0.7675178647041321,0.8824165802255838,0.6573035321220119,0.45622193813323975,0.709226730435417,0.7134320854820347,0.1966903805732727,0.646357664484589,113,34.44
